,ec,cofactor,rn
61,1.12.2.1,fe,R04015
62,1.12.2.1,fes,R04015
63,1.12.5.1,fe,R02965
64,1.12.5.1,fes,R02965
65,1.12.7.2,fe,R00019
66,1.12.7.2,fes,R00019
67,1.12.98.1,fe,R03025
68,1.12.98.1,fes,R03025
69,1.12.98.3,fe,R09095
70,1.12.98.3,fes,R09095
71,1.12.98.4,fe,R10390
72,1.12.98.4,fes,R10390
73,1.12.99.6,fe,R07182
74,1.12.99.6,fe,R08034
75,1.12.99.6,fes,R07182
76,1.12.99.6,fes,R08034
77,1.13.11.1,fe,R00817
78,1.13.11.1,fe,R04258
79,1.13.11.1,fe,R05299
80,1.13.11.1,fe,R06833
81,1.13.11.1,fe,R06839
82,1.13.11.1,fe,R08114
83,1.13.11.1,fe,R08115
84,1.13.11.1,fe,R09134
85,1.13.11.10,fe,R03253
86,1.13.11.12,fe,R03626
87,1.13.11.12,fe,R07864
88,1.13.11.12,fe,R07869
89,1.13.11.15,fe,R03303
90,1.13.11.16,fe,R04376
91,1.13.11.16,fe,R06788
92,1.13.11.18,fe,R00781
93,1.13.11.18,fe,R08677
94,1.13.11.18,fe,R08678
95,1.13.11.19,fe,R02467
96,1.13.11.20,fe,R00893
97,1.13.11.24,fe,R02156
98,1.13.11.25,fe,R04597
